,Country Name,Country Code,2017,2018,2019,Average GDP
1,Afghanistan,AFG,18869945677.9599,18353881129.881,19291104007.8299,18838310271.890263
2,Angola,AGO,122123822333.59,101353230784.59401,88815697793.30301,104097583637.16235
3,Albania,ALB,13019693450.8816,15147020535.3869,15279183289.9372,14481965758.735235
4,Andorra,AND,3000180750.11297,3218316013.22626,3154057987.23833,3124184916.8591866
5,Arab World,ARB,2516121177762.82,2771384097904.53,2817414584665.11,2701639953444.153
6,United Arab Emirates,ARE,385605506854.88104,422215043584.969,421142267937.65,409654272792.5
7,Argentina,ARG,643628665302.668,517626700412.71796,445445177459.426,535566847724.9373
8,Armenia,ARM,11527458565.7334,12457941907.0333,13672802157.8324,12552734210.1997
10,Antigua and Barbuda,ATG,1467977777.77778,1605351851.85185,1661962962.96296,1578430864.19753
11,Australia,AUS,1329188475752.32,1432881172002.17,1396567014733.23,1386212220829.24
12,Austria,AUT,417237869115.93,455094861902.062,445075391688.156,439136040902.0493
13,Azerbaijan,AZE,40865558912.3867,47112941176.4706,48047647058.8235,45342049049.22694
14,Burundi,BDI,3172292379.36329,3036931818.18182,3012334881.6405697,3073853026.395227
15,Belgium,BEL,502698069366.942,543734366831.215,533097455834.509,526509964010.8887
16,Benin,BEN,12701656930.6889,14250985958.6727,14390709094.9386,13781117328.100067
17,Burkina Faso,BFA,14106956830.0857,16059910870.6239,15990803569.9961,15385890423.568565
18,Bangladesh,BGD,249711027660.25302,274039092455.30603,302571254131.135,275440458082.2314
19,Bulgaria,BGR,58971520599.2509,66230155099.5775,68558815111.6199,64586830270.14944
20,Bahrain,BHR,35473776595.7447,37652500000.0,38574069148.9362,37233448581.560295
21,"Bahamas, The",BHS,12490700000.0,13022100000.0,13578800000.0,13030533333.333334
22,Bosnia and Herzegovina,BIH,18080118128.3854,20183510561.2553,20164193806.88,19475940832.17357
23,Belarus,BLR,54726595249.1849,60031262269.3365,63080457022.6599,59279438180.39376
24,Belize,BLZ,1836600000.0,1871200000.0,1879613600.0,1862471200.0
